seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Croacia,12,Mateo Kovacic,cro_07_mateo kovacic.png,
Croacia,13,Mario Pasalic,cro_09_mario-pasalic.png,
Croacia,14,Nikola Vlasic,,
Croacia,15,Luka Sucic,,
Croacia,16,Martin Baturina,cro_08_martin-baturina.png,
Croacia,17,Kristijan Jakic,,
Croacia,18,Petar Sucic,,
Croacia,19,Nikola Moro,,
Croacia,20,Toni Fruk,,
Croacia,21,Ivan Perisic,,
Croacia,22,Andrej Kramaric,cro_05_andrej kramaric.png,
Croacia,23,Ante Budimir,,
Croacia,24,Marco Pasalic,cro_03_marco-pasalic.png,
Croacia,25,Petar Musa,,
Croacia,26,Igor Matanovic,,
Curazao,1,Tyrick Bodak,,
Curazao,2,Trevor Doornbusch,,
Curazao,3,Eloy Room,,
Curazao,4,Riechedly Bazoer,,
Curazao,5,Joshua Brenet,,
Curazao,6,Roshon Van Eijma,,
Curazao,7,Sherel Floranus,,
Curazao,8,Deveron Fonville,,
Curazao,9,Jurïen Gaari,,
Curazao,10,Armando Obispo,,
Curazao,11,Shurandy Sambo,,
Curazao,12,Juninho Bacuna,,
Curazao,13,Leandro Bacuna,,
Curazao,14,Livano Comenencia,,
Curazao,15,Kevin Felida,,
Curazao,16,Arjany Martha,,
Curazao,17,Tyrese Noslin,,
Curazao,18,Godfried Roemeratoe,,
Curazao,19,Jeremy Antonisse,,
Curazao,20,Tahith Chong,,
Curazao,21,Kenji Gorré,,
Curazao,22,Sontje Hansen,,
Curazao,23,Gervane Kastaneer,,
Curazao,24,Brandley Kuwas,,
Curazao,25,Jürgen Locadia,,
Curazao,26,Jearl Margaritha,,
Republica Checa,1,Lukas Hornicek,,cze_03_matej-vydra.png
Republica Checa,2,Matej Kovar,cze_09_matej-kovar.png,cze_04_vasil-kusej.png
Republica Checa,3,Jindrich Stanek,cze_15_jindrich-stanek.png,cze_06_vaclav-gerny.png
Republica Checa,4,Ladislav Krejci,,cze_08_jaroslav-zelenv.png
Republica Checa,5,Robin Hranac,,cze_16_patrik schick.png
Republica Checa,6,Stepan Chaloupek,,cze_18_laviolav-arevu.png
Republica Checa,7,David Zima 8Slavia Praga),cze_14_david-zima.png,cze.png
Republica Checa,8,Tomas Holes,cze_10_tomas holes.png,cze0.png
Republica Checa,9,Jaroslav Zeleny,,
Republica Checa,10,David Jurasek,,
Republica Checa,11,Vladimir Coufal,cze_11_vladimir-coufal.png,
Republica Checa,12,Tomas Soucek,cze_01_tomas-soucek.png,
Republica Checa,13,Michal Sadilek,cze_12_michal-sadilek.png,
Republica Checa,14,Lukas Cerv,cze_17_lukas cerv.png,
Republica Checa,15,Hugo Sochurek,,
Republica Checa,16,Alexander Sojka,,
Republica Checa,17,Vladimir Darida,,
Republica Checa,18,David Doudera,,
Republica Checa,19,Pavel Sulc,cze_02_pavel-sulc.png,
Republica Checa,20,Denis Visinsky,,
Republica Checa,21,Patrick Schick,,
Republica Checa,22,Lukas Provod,cze_13_lukas-provod.png,
Republica Checa,23,Adam Hlozek,cze_07_adam hlozek.png,
Republica Checa,24,Mojmir Chytil,,
Republica Checa,25,Jan Kuchta,,
Republica Checa,26,Tomas Chory,cze_05_tomas-chory.png,
Ecuador,1,Hernán Galíndez,ecu_01_hernan galindez.png,ecu_05_alan-minda.png
Ecuador,2,Moisés Ramírez,,ecu_08_leonardo-campana.png
Ecuador,3,Gonzalo Valle,ecu_02_gonzalo-valle.png,ecu_09_pedro vite.png
Ecuador,4,Willian Pacho,ecu_17_willian-pacho.png,ecu_12_alan-franco.png
Ecuador,5,Piero Hincapié,ecu_18_piero-hincapie.png,ecu_15_john-veboah.png
Ecuador,6,Joel Ordóñez,ecu_14_joel-ordonez.png,ecu.png
Ecuador,7,Jackson Porozo,,ecu0_2.png
Ecuador,8,Félix Torres,,ecu0.png
Ecuador,9,Pervis Estupiñán,ecu_16_pervis-estupinan.png,
Ecuador,10,Yaimar Medina,,
Ecuador,11,Ángelo Preciado,ecu-19-angelo preciado.png,
Ecuador,12,Moisés Caicedo,ecu_13_moises-caicedo.png,
Ecuador,13,Jordi Alcívar,,
Ecuador,14,Denil Castillo,,
Ecuador,15,Alan Franco,ecu_11_alan-franco.png,
Ecuador,16,Kendry Páez,ecu_10_kendry-paez.png,
Ecuador,17,Nilson Angulo,ecu_06_nilson-angulo.png,
Ecuador,18,Gonzalo Plata,ecu_07_gonzalo-plata.png,
Ecuador,19,John Yeboah,,
