seleccion,orden,jugador
Catar,7,Lucas Mendes
Catar,8,Issa Laye
Catar,10,Alhashmi Alhussain
Catar,11,Sultan Al Brake
Catar,13,Abdulaziz Hatem
Catar,14,Ahmed Fathy
Catar,16,Jassim Gaber
Catar,17,Mohamed Manai
Catar,18,Ahmed Al Janhi
Catar,19,Ahmed Alaa
Catar,23,Hassan Al Haydos
Catar,24,Mohammed Muntari
Catar,25,Tahsin Mohammed
Catar,26,Yusuf Abdurisag
Sudafrica,2,Ricardo Goss
Sudafrica,5,Nkosinathi Sibisi
Sudafrica,6,Ime Okon
Sudafrica,9,Samukelo Kabini
Sudafrica,10,Thabang Matuludi
Sudafrica,11,Olwethu Makhanya
Sudafrica,12,Kamogelo Sebelebele
Sudafrica,13,Bradley Cross
Sudafrica,17,Sphephelo Sithole
Sudafrica,18,Jayden Adams
Sudafrica,20,Iqraam Rayners
Sudafrica,21,Tshepang Moremi
Sudafrica,22,Relebohile Mofokeng
Sudafrica,23,Evidence Makgopa
Sudafrica,24,Themba Zwane
Sudafrica,26,Thapelo Maseko
Escocia,1,Craig Gordon
Escocia,3,Liam Kelly
Escocia,7,Dom Hyam
Escocia,9,Nathan Patterson
Escocia,11,Andy Robertson
Escocia,15,Findlay Curtis
Escocia,18,Tyler Fletcher
Escocia,24,George Hirst
Escocia,25,Lawrence Shankland
Escocia,26,Ross Stewart
Senegal,2,Mory Diaw
Senegal,5,Antoine Mendy
Senegal,6,Kalidou Koulibaly
Senegal,7,El Hadji Malick Diouf
Senegal,8,Mamadou Sarr
Senegal,9,Moussa Niakhaté
Senegal,10,Moustapha Mbow
Senegal,11,Abdoulaye Seck
Senegal,12,Ismaïl Jakobs
Senegal,13,Ilay Camara
Senegal,14,Idrissa Gana Gueye
Senegal,15,Pape Gueye
Senegal,17,Habib Diarra
Senegal,18,Pathé Ciss
Senegal,19,Pape Matar Sarr
Senegal,20,Bara Sapoko Ndiaye
Senegal,22,Ismaïla Sarr
Senegal,23,Iliman Ndiaye
Senegal,24,Assane Diao
Senegal,25,Ibrahim Mbaye
Senegal,26,Nicolas Jackson
Senegal,27,Bamba Dieng
Senegal,28,Cherif Ndiaye
Suiza,1,Marvin Keller
Suiza,6,Eray Cömert
Suiza,8,Luca Jaquez
Suiza,9,Miro Muheim
Suiza,10,Ricardo Rodriguez
Suiza,11,Silvan Widmer
Suiza,12,Gran Xhaka
Suiza,14,Michel Aebischer
Suiza,15,Christian Fassnacht
Suiza,19,Fabian Rieder
Suiza,20,Djibril Sow
Suiza,21,Zeki Amdouni
Suiza,23,Cedric Itten
Suiza,24,Dan Ndoye
Suiza,25,Noah Okafor
Suecia,1,Jacob Zetterström
Suecia,3,Kristoffer Nordfeldt
Suecia,4,Gustav Lagerbielke
Suecia,5,Viktor Lindelöf
Suecia,6,Isak Hien
Suecia,8,Herman Johansson
Suecia,10,Hjalmar Ekdal
Suecia,11,Carl Starfelt
Suecia,12,Eric Smith
Suecia,13,Elliot Stroud
Suecia,14,Lucas Begvall
Suecia,15,Ken Sema
Suecia,16,Jesper Kalström
Suecia,17,Yasin Ayari
Suecia,19,Besfort Zeneli
Suecia,22,Benjamin Nygren
Suecia,24,Alexander Bernhardsson
Suecia,25,Gustaf Nilsson
Suecia,26,Taha Ali
Tunez,1,Aymen Dahmen
Tunez,2,A. Chamakh
Tunez,3,Sabri Ben Hassen
Tunez,4,Van Valery
Tunez,5,Moutaz Neffati
Tunez,6,Dylan Bronn
Tunez,7,Montassar Talbi
Tunez,8,Omar Rekik
Tunez,9,Adem Arous
Tunez,10,Raed Chikhaoui
Tunez,11,Ali Abdi
Tunez,12,M.A Ben Hmida
Tunez,13,Ellyes Skhiri
Tunez,14,M. Hadj Mahmoud
Tunez,15,Rani Khedira
Tunez,16,Anis Ben Slimane
Tunez,17,Mortadha Ben Ouanes
Tunez,18,Ismaël Gharbi
Tunez,19,Hannibal Mejbri
Tunez,20,Khalil Ayari
Tunez,21,Elias Achouri
Tunez,22,Elias Saad
Tunez,23,Firas Chaouat
Tunez,24,Hazem Mastouri
Tunez,25,Rayan Elloumi
Tunez,26,Sebastian Tounekti
Turquia,1,Bayindir
Turquia,3,Gunok
Turquia,7,Ozan Kabak
Turquia,8,Mert Muldur
